date,placename,country,accommodation,latitude,longitude
2016-12-05,Nong Khai,Thailand,Mut Mee Garden Guest House,17.883714589660475,102.74221011688878
2016-12-06,Nong Khai,Thailand,Mut Mee Garden Guest House,17.883714589660475,102.74221011688878
2016-12-07,Vientiane,Laos,Mixay Paradise Hotel,17.965383613499128,102.60472679812234
2016-12-08,Pakse,Laos,Lankham Hotel,15.121887140634568,105.79993687640872
2016-12-09,Paksong,Laos,Tree Top Explorer,15.158447443742864,105.8714909350071
2016-12-10,Pakse,Laos,Lankham Hotel,15.121887140634568,105.79993687640872
2016-12-11,Don Det,Laos,Mama Leuah Guesthouse,13.97699492092787,105.92805625321172
2016-12-12,Don Det,Laos,Mama Leuah Guesthouse,13.97699492092787,105.92805625321172
2016-12-13,Don Det,Laos,Mama Leuah Guesthouse,13.97699492092787,105.92805625321172
2016-12-14,Banlung,Cambodia,Tree Top Eco-Lodge,13.73543691816744,106.9924194453539
2016-12-15,Banlung,Cambodia,Tree Top Eco-Lodge,13.73543691816744,106.9924194453539
2016-12-16,Sen Monorom,Cambodia,Nature Lodge,12.455153734694909,107.20488603393518
2016-12-17,Sen Monorom,Cambodia,Nature Lodge,12.455153734694909,107.20488603393518
2016-12-18,Sen Monorom,Cambodia,Indigenous People Lodge,12.457991912074775,107.19681816919189
2016-12-19,Siem Reap,Cambodia,Siem Reap Green Home Guesthouse,13.358788537594528,103.86102775669409
2016-12-20,Siem Reap,Cambodia,Siem Reap Green Home Guesthouse,13.358788537594528,103.86102775669409
2016-12-21,Siem Reap,Cambodia,Siem Reap Green Home Guesthouse,13.358788537594528,103.86102775669409
2016-12-22,Siem Reap,Cambodia,Siem Reap Green Home Guesthouse,13.358788537594528,103.86102775669409
2016-12-23,Koh Rong Samloem,Cambodia,Sunset Bungalows,10.623872129478912,103.2944041738055
2016-12-24,Koh Rong Samloem,Cambodia,Sunset Bungalows,10.623872129478912,103.2944041738055
2016-12-25,Koh Rong Samloem,Cambodia,Sunset Bungalows,10.623872129478912,103.2944041738055
2016-12-26,Kampot,Cambodia,Bandini's,10.61828697196347,104.17630648762238
2016-12-27,Kampot,Cambodia,Bandini's,10.61828697196347,104.17630648762238
2016-12-28,Phnom Penh,Cambodia,Top Banana Guesthouse,11.555418771602382,104.9260936620233
2016-12-29,Phnom Penh,Cambodia,Top Banana Guesthouse,11.555418771602382,104.9260936620233
2016-12-30,Singapore,Singapore,MET A Space Pod,1.300999005710522,103.85954315510043
2016-12-31,Singapore,Singapore,MET A Space Pod,1.300999005710522,103.85954315510043
2017-01-01,Singapore,Singapore,MET A Space Pod,1.300999005710522,103.85954315510043
2017-01-02,Singapore,Singapore,MET A Space Pod,1.300999005710522,103.85954315510043
2017-01-03,Bangkok,Thailand,THA City Loft Hotel,13.726186439593794,100.58545930883635
