date,placename,country,accommodation,latitude,longitude
2017-09-12,Panajachel,Guatemala,Hotel Posada Chinimaya,14.739382042363422,-91.15681412205416
2017-09-13,Panajachel,Guatemala,Hotel Posada Chinimaya,14.739382042363422,-91.15681412205416
2017-09-14,Ciudad de Guatemala,Guatemala,Nostalgic Hostel B&B,14.634240478575547,-90.51256143674426
2017-09-15,Flores,Guatemala,Hotel Villa del Lago,16.928987797742252,-89.89070713121195
2017-09-16,Parque Nacional Tikal,Guatemala,Jungle Lodge Tikal Hostal,17.22525873932159,-89.61437726396477
2017-09-17,Flores,Guatemala,Hotel Villa del Lago,16.928987797742252,-89.89070713121195
2017-09-18,Lanquín,Guatemala,El Retiro Lodge,15.581560275109808,-89.97625416081783
2017-09-19,Lanquín,Guatemala,El Retiro Lodge,15.581560275109808,-89.97625416081783
2017-09-20,Antigua,Guatemala,Cucuruchos Boutique Hostel,14.555616939873733,-90.73213017533728
2017-09-21,Antigua,Guatemala,Cucuruchos Boutique Hostel,14.555616939873733,-90.73213017533728
2017-09-22,Antigua,Guatemala,Hotel Villa Real Antigua,14.556045167851732,-90.73751814165665
