date,name,placename,country,latitude,longitude,type
2018-09-13,Conforto Madá Hostel,São Paulo,Brazil,-23.5578239,-46.6907639,accommodation
2018-09-14,Conforto Madá Hostel,São Paulo,Brazil,-23.5578239,-46.6907639,accommodation
2018-09-15,Conforto Madá Hostel,São Paulo,Brazil,-23.5578239,-46.6907639,accommodation
2018-09-16,Giramundo Hostel,Salvador,Brazil,-12.9678595,-38.5071113,accommodation
2018-09-17,Giramundo Hostel,Salvador,Brazil,-12.9678595,-38.5071113,accommodation
2018-09-18,Giramundo Hostel,Salvador,Brazil,-12.9678595,-38.5071113,accommodation
2018-09-19,Casa Luna,Lencois,Brazil,-12.5588715,-41.3911044,accommodation
2018-09-20,Casa Luna,Lencois,Brazil,-12.5588715,-41.3911044,accommodation
2018-09-21,Vale do Pati Igrejinha,Chapada Diamantina,Brazil,-12.7757332,-41.475754,accommodation
2018-09-22,Vale do Pati Igrejinha,Chapada Diamantina,Brazil,-12.7757332,-41.475754,accommodation
2018-09-23,Casa Luna,Lencois,Brazil,-12.5588715,-41.3911044,accommodation
2018-09-24,Village Bouganville,Praia do Forte,Brazil,-12.5774026,-38.0050185,accommodation
2018-09-25,Village Bouganville,Praia do Forte,Brazil,-12.5774026,-38.0050185,accommodation
2018-09-26,Village Bouganville,Praia do Forte,Brazil,-12.5774026,-38.0050185,accommodation
2018-09-27,Casa Blanka,Itacaré,Brazil,-14.2791865,-38.9916758,accommodation
2018-09-28,Casa Blanka,Itacaré,Brazil,-14.2791865,-38.9916758,accommodation
2018-09-29,Casa Blanka,Itacaré,Brazil,-14.2791865,-38.9916758,accommodation
2018-09-30,Pousada Mirante do Sol,Arraial d'Ajuda,Brazil,-16.489615,-39.072602,accommodation
2018-10-01,Pousada Mirante do Sol,Arraial d'Ajuda,Brazil,-16.489615,-39.072602,accommodation
2018-10-02,Pousada Mirante do Sol,Arraial d'Ajuda,Brazil,-16.489615,-39.072602,accommodation
2018-10-03,Vitoria Hostel,São Paulo,Brazil,-23.424066,-46.4975,accommodation
2018-10-04,Central Bed and Breakfast,Foz do Iguaçu,Brazil,-25.5361295,-54.5873856,accommodation
2018-10-05,Central Bed and Breakfast,Foz do Iguaçu,Brazil,-25.5361295,-54.5873856,accommodation
2018-10-06,,Night bus to Corrientes,Argentina,,,accommodation
