date,name,placename,country,latitude,longitude,type
2024-11-08,Kansai Airport,Osaka,Japan,34.43188826506089,135.23663838686446,transport
2024-11-08,Dotonbori,Osaka,Japan,34.668726769380356,135.50128656039445,sight
2024-11-08,R Hotel Honmachi,Osaka,Japan,34.67809140017919,135.50822477030334,accommodation
2024-11-09,Osaka Castle,Osaka,Japan,34.687115919512934,135.52581024966105,sight
2024-11-09,Ando's office,Osaka,Japan,34.71045376958176,135.50162580158286,sight
2024-11-09,Row House,Osaka,Japan,34.711146868535366,135.5021368561589,sight
2024-11-09,Chaska Chayamachi Complex,Osaka,Japan,34.707475623994675,135.50001566039745,sight
2024-11-09,Wall of Hope,Osaka,Japan,34.70615053095418,135.4909671152407,sight
2024-11-09,Nakanoshima Children's Book Forest,Osaka,Japan,34.6930471193784,135.50640913346353,sight
2024-11-09,teamLab Botanical Garden,Osaka,Japan,34.61099598493733,135.520415935582,sight
2024-11-09,Amerika-mura,Osaka,Japan,34.67220608227548,135.49788846064502,sight
2024-11-09,R Hotel Honmachi,Osaka,Japan,34.67809140017919,135.50822477030334,accommodation
2024-11-10,Nara Park,Nara,Japan,34.68501612214673,135.8430280932539,sight
2024-11-10,Dotonbori,Osaka,Japan,34.668726769380356,135.50128656039445,sight
2024-11-10,Mido-suji,Osaka,Japan,34.67192977395887,135.50034690009338,sight
2024-11-10,R Hotel Honmachi,Osaka,Japan,34.67809140017919,135.50822477030334,accommodation
2024-11-11,Himeji Castle,Himeji,Japan,34.83943579136323,134.693899335582,sight
2024-11-11,Konpira-san,Kotohira,Japan,34.18398923169652,133.8095382284318,sight
2024-11-11,4S STAY Awaikeda Ekimae,Miyoshi,Japan,34.0278853,133.8054886,accommodation
2024-11-12,Oboke Boat Tour,Oboke,Japan,33.885811327090664,133.76074866441797,sight
2024-11-12,Iya Onsen,Iya Valley,Japan,33.921337467568684,133.81737468307918,sight
2024-11-12,4S STAY Awaikeda Ekimae,Miyoshi,Japan,34.0278853,133.8054886,accommodation
